account,FY2021,FY2022,FY2023,FY2024,FY2025
Revenue:,,,,,
Sales of goods,12248,12236,15617,17810,18216
Sales of services,8254,8920,9889,10019,9517
Total revenue,20502,21156,25506,27829,27733
Costs and expenses:,,,,,
Cost of goods sold,10458,10445,13309,14792,14388
Cost of services sold,5995,6311,6946,7197,6801
Selling general and administrative,2470,2510,2611,2458,2387
Goodwill impairment,,,
Restructuring impairment and other,209,682,323,301,
Separation related,60,23,,,
Research and development costs,,,,,600
Restructuring,,,,,215
Other income expense net,-583,-911,554,382,243
Total costs and expenses,19192,19971,23189,24748,
Operating income loss,1310,1185,2317,3081,
Other non-operating income loss net,-583,-911,554,382,
Interest expense net,-299,-252,-216,-198,222
Income before income taxes,428,22,2655,3265,2877
Provision for income taxes,-758,-600,-685,-257,-253
Net income loss,-330,-578,1970,3008,2624
Less: Net income attributable to noncontrolling interests,-111,23,27,29,36
Net income attributable to Baker Hughes Company,-219,-601,1943,2979,2588
Basic income loss per Class A common share,-0.27,-0.61,1.93,3.00,2.62
Diluted income loss per Class A common share,-0.27,-0.61,1.91,2.98,2.60
Cash dividend per Class A common share,0.72,0.73,0.78,0.84,0.92
