fiscal_year,metric,value,unit,source_accession,filed,source_note
2021,accounts_payable,532.8,USD,0001628280-23-002875,2023-02-09,SEC Company Facts; latest filed 10-K fact for period
2021,assets,5281.5,USD,0001628280-24-003792,2024-02-08,SEC Company Facts; latest filed 10-K fact for period
2021,capex,90.2,USD,0001628280-24-003792,2024-02-08,SEC Company Facts; latest filed 10-K fact for period
2021,cash,286.2,USD,0001628280-23-002875,2023-02-09,SEC Company Facts; latest filed 10-K fact for period
2021,cff,-433.0,USD,0001628280-24-003792,2024-02-08,SEC Company Facts; latest filed 10-K fact for period
2021,cfo,513.7,USD,0001628280-24-003792,2024-02-08,SEC Company Facts; continuing-operations CFO (matches company FCF definition)
2021,cfo_continuing,513.7,USD,0001628280-24-003792,2024-02-08,SEC Company Facts; latest filed 10-K fact for period
2021,consolidated_net_income,405.6,USD,0001628280-24-003792,2024-02-08,SEC Company Facts; latest filed 10-K fact for period
2021,cost_of_goods_sold,3042.6,USD,0001628280-24-003792,2024-02-08,SEC Company Facts; latest filed 10-K fact for period
2021,current_assets,1879.3,USD,0001628280-23-002875,2023-02-09,SEC Company Facts; latest filed 10-K fact for period
2021,current_liabilities,1065.2,USD,0001628280-23-002875,2023-02-09,SEC Company Facts; latest filed 10-K fact for period
2021,debt_current,9.7,USD,0001628280-23-002875,2023-02-09,SEC Company Facts; latest filed 10-K fact for period
2021,debt_long_term,1435.5,USD,0001628280-23-002875,2023-02-09,SEC Company Facts; latest filed 10-K fact for period
2021,depreciation_amortization,149.1,USD,0001628280-24-003792,2024-02-08,SEC Company Facts; latest filed 10-K fact for period
2021,dividend_per_share,3.99e-06,USD/shares,0001628280-24-003792,2024-02-08,SEC Company Facts; latest filed 10-K fact for period
2021,goodwill,1871.3,USD,0001628280-24-003792,2024-02-08,SEC Company Facts; latest filed 10-K fact for period
2021,gross_debt,1445.2,USD,,,Analyst calculation: current + long-term debt
2021,gross_profit,1151.5,USD,0001628280-24-003792,2024-02-08,SEC Company Facts; latest filed 10-K fact for period
2021,income_tax,88.2,USD,0001628280-24-003792,2024-02-08,SEC Company Facts; latest filed 10-K fact for period
2021,inventory,662.1,USD,0001628280-23-002875,2023-02-09,SEC Company Facts; latest filed 10-K fact for period
2021,operating_income,532.3,USD,0001628280-24-003792,2024-02-08,SEC Company Facts; latest filed 10-K fact for period
2021,parent_equity,2229.8,USD,0001628280-23-002875,2023-02-09,SEC Company Facts; latest filed 10-K fact for period
2021,parent_net_income,399.5,USD,0001628280-24-003792,2024-02-08,SEC Company Facts; latest filed 10-K fact for period
